Столбец1;Столбец2;Столбец3;Столбец4;Столбец5;Столбец6;Столбец7;Столбец8;Столбец9;Столбец10;Столбец11;Столбец12;score
'min_child_weight': 2.0; 'n_estimators': 482.0; 'silent': 1; 'nthread': 6; 'gamma': 0.5; 'max_depth': 4; 'eta': 0.125; 'subsample': 0.5; 'num_class': 5; 'colsample_bytree': 0.7000000000000001; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.565425023877746
'min_child_weight': 1.0; 'n_estimators': 373.0; 'silent': 1; 'nthread': 6; 'gamma': 0.5; 'max_depth': 11; 'eta': 0.375; 'subsample': 0.65; 'num_class': 5; 'colsample_bytree': 0.75; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.565425023877746
'min_child_weight': 1.0; 'n_estimators': 164.0; 'silent': 1; 'nthread': 6; 'gamma': 0.8; 'max_depth': 7; 'eta': 0.325; 'subsample': 0.8; 'num_class': 5; 'colsample_bytree': 0.55; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.565425023877746
'min_child_weight': 6.0; 'n_estimators': 264.0; 'silent': 1; 'nthread': 6; 'gamma': 0.7000000000000001; 'max_depth': 9; 'eta': 0.25; 'subsample': 0.6000000000000001; 'num_class': 5; 'colsample_bytree': 0.8; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.565425023877746
'min_child_weight': 6.0; 'n_estimators': 181.0; 'silent': 1; 'nthread': 6; 'gamma': 0.65; 'max_depth': 13; 'eta': 0.1; 'subsample': 0.8; 'num_class': 5; 'colsample_bytree': 0.75; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.565425023877746
'min_child_weight': 6.0; 'n_estimators': 401.0; 'silent': 1; 'nthread': 6; 'gamma': 0.55; 'max_depth': 6; 'eta': 0.45; 'subsample': 0.9500000000000001; 'num_class': 5; 'colsample_bytree': 0.6000000000000001; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5644699140401146
'min_child_weight': 1.0; 'n_estimators': 393.0; 'silent': 1; 'nthread': 6; 'gamma': 0.75; 'max_depth': 4; 'eta': 0.45; 'subsample': 0.8500000000000001; 'num_class': 5; 'colsample_bytree': 0.9; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5644699140401146
'min_child_weight': 2.0; 'n_estimators': 332.0; 'silent': 1; 'nthread': 6; 'gamma': 0.75; 'max_depth': 4; 'eta': 0.30000000000000004; 'subsample': 0.6000000000000001; 'num_class': 5; 'colsample_bytree': 0.8; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5644699140401146
'min_child_weight': 4.0; 'n_estimators': 733.0; 'silent': 1; 'nthread': 6; 'gamma': 0.8500000000000001; 'max_depth': 9; 'eta': 0.375; 'subsample': 0.8; 'num_class': 5; 'colsample_bytree': 0.75; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.562559694364852
'min_child_weight': 1.0; 'n_estimators': 296.0; 'silent': 1; 'nthread': 6; 'gamma': 0.55; 'max_depth': 4; 'eta': 0.07500000000000001; 'subsample': 0.6000000000000001; 'num_class': 5; 'colsample_bytree': 0.75; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.562559694364852
